"adjective","prop_item_correct","gbooks_freq"
"disinterested",0.895522388059702,-0.148
"disloyal",0.936708860759494,-0.225
"disobedient",0.900900900900901,-0.222
"disobliging",0.642857142857143,NA
"disorderly",0.761194029850746,-0.193
"disorganized",0.693333333333333,-0.209
"disparaging",0.548387096774194,-0.233
"dispassionate",0.630434782608696,-0.231
"disputatious",0.513157894736842,NA
"disregardful",0.675675675675676,NA
"disrespectful",0.954545454545455,-0.221
"disruptive",0.943820224719101,-0.158
"dissatisfied",0.951807228915663,-0.127
"dissensualized",0.315068493150685,NA
"dissocial",0.825581395348837,NA
"distant",0.816901408450704,1.059
"distinguished",0.837209302325581,-0.218
"distractible",0.891304347826087,NA
"distrustful",0.877777777777778,-0.236
"disturbed",0.657894736842105,-0.252
"dithering",0.5,NA
"divertible",0.844444444444444,NA
"divisive",0.662921348314607,-0.216
"divulging",0.730769230769231,NA
"dizzying",0.0412371134020619,-0.24
"docile",0.846153846153846,-0.207
"doctrinaire",0.451219512195122,-0.251
"doddering",0.428571428571429,NA
"dodgy",0.673913043478261,NA
"dogged",0.402597402597403,-0.206
"dogmatic",0.430379746835443,-0.17
"doleful",0.75,-0.231
"doltish",0.64,NA
"dominant",0.75,0.729
"domineering",0.884615384615385,-0.234
"dopey",0.8,NA
"doting",0.6484375,-0.246
"dotty",0.525,-0.25
"double-crossing",0.824324324324324,NA
"double-faced",0.839285714285714,NA
"double-tongued",0.666666666666667,NA
"doubting",0.933333333333333,-0.174
"dour",0.519480519480519,-0.244
"dowdy",0.6,-0.254
"down-to-earth",0.666666666666667,NA
"downtrodden",0.8125,-0.243
"dramatic",0.689189189189189,-0.209
"dreamy",0.836363636363636,-0.178
"dreary",0.922077922077922,-0.077
"dressy",0.925925925925926,NA
"droll",0.298701298701299,-0.226
"dubious",0.704545454545455,-0.13
"dull",0.5,0.386
"dull-witted",0.892307692307692,NA
"dumb",0.833333333333333,-0.245
"durable",0.926829268292683,-0.253
"dutiful",0.897435897435897,-0.211
